Line  1;;
-36.50930;-54.29280;1.25
-36.50920;-54.29280;1.24
-36.50910;-54.29280;0.76
-36.50900;-54.29280;0.76
-36.50890;-54.29280;0.61
-36.50880;-54.29280;1.59
-36.50870;-54.29280;1.58
-36.50860;-54.29280;1.58
-36.50850;-54.29280;1.57
-36.50840;-54.29280;1.61
-36.50830;-54.29280;1.56
-36.50820;-54.29280;1.60
-36.50810;-54.29280;1.59
-36.50800;-54.29280;1.58
-36.50790;-54.29280;2.01
-36.50780;-54.29280;2.26
-36.50770;-54.29280;2.24
-36.50760;-54.29280;2.29
-36.50750;-54.29280;1.56
-36.50740;-54.29280;1.56
-36.50730;-54.29280;1.55
-36.50720;-54.29280;1.64
-36.50710;-54.29280;1.63
-36.50700;-54.29280;1.62
-36.50690;-54.29280;1.33
-36.50680;-54.29280;1.32
-36.50670;-54.29280;1.59
-36.50660;-54.29280;1.57
-36.50650;-54.29280;1.56
-36.50640;-54.29280;1.55
-36.50630;-54.29280;1.53
-36.50620;-54.29280;1.52
-36.50610;-54.29280;1.51
-36.50600;-54.29280;1.49
-36.50590;-54.29280;1.48
-36.50580;-54.29280;0.73
-36.50570;-54.29280;0.73
-36.50560;-54.29280;0.73
-36.50550;-54.29280;0.87
-36.50540;-54.29280;0.87
-36.50530;-54.29280;0.83
-36.50520;-54.29280;0.83
-36.50510;-54.29280;0.83
-36.50500;-54.29280;0.83
-36.50490;-54.29280;0.83
-36.50480;-54.29280;0.82
-36.50470;-54.29280;0.82
-36.50460;-54.29280;0.82
-36.50450;-54.29280;0.82
-36.50440;-54.29280;0.69
-36.50430;-54.29280;0.69
-36.50420;-54.29280;0.78
-36.50410;-54.29280;0.78
-36.50400;-54.29280;0.78
-36.50390;-54.29280;0.77
-36.50380;-54.29280;0.78
-36.50370;-54.29280;0.79
-36.50360;-54.29280;0.92
-36.50350;-54.29280;0.92
-36.50340;-54.29280;0.90
-36.50330;-54.29280;0.90
-36.50320;-54.29280;0.82
-36.50310;-54.29280;0.82
-36.50300;-54.29280;0.81
-36.50290;-54.29280;0.81
-36.50280;-54.29280;0.81
-36.50270;-54.29280;0.81
-36.50260;-54.29280;0.72
-36.50250;-54.29280;0.72
-36.50240;-54.29280;0.72
-36.50230;-54.29280;0.72
-36.50220;-54.29280;0.72
-36.50210;-54.29280;0.72
-36.50200;-54.29280;0.72
-36.50190;-54.29280;0.72
-36.50180;-54.29280;0.69
-36.50170;-54.29280;0.71
-36.50160;-54.29280;0.68
-36.50150;-54.29280;0.68
-36.50140;-54.29280;0.68
-36.50130;-54.29280;0.68
-36.50120;-54.29280;0.58
-36.50110;-54.29280;0.58
-36.50100;-54.29280;0.58
-36.50090;-54.29280;0.57
-36.50080;-54.29280;0.57
-36.50070;-54.29280;0.56
-36.50060;-54.29280;0.56
-36.50050;-54.29280;0.56
-36.50040;-54.29280;0.55
-36.50030;-54.29280;0.53
-36.50020;-54.29280;0.51
-36.50010;-54.29280;0.51
-36.50000;-54.29280;0.51
-36.49990;-54.29280;0.49
-36.49980;-54.29280;0.49
-36.49970;-54.29280;0.86
-36.49960;-54.29280;0.87
-36.49950;-54.29280;0.85
-36.49940;-54.29280;0.87
-36.49930;-54.29280;0.88
-36.49920;-54.29280;0.90
